LATITUDE,LONGITUDE,FIRE_SIZE,date
34.25833333,-118.10555556,1.0,01-2007
34.76694444,-76.96305556,2.0,01-2007
40.83305556,-121.50666667,0.1,02-2007
32.8575,-116.46388889,0.1,01-2007
38.22472222,-79.40861111,0.1,01-2007
36.68888889,-84.40277778,2.0,01-2007
32.67861111,-116.505,0.1,01-2007
45.34333333,-109.91111111,0.1,01-2007
35.36111111,-83.87055556,0.25,01-2007
39.42,-123.05055556,0.5,01-2007
39.9525,-120.91027778,1.0,01-2007
34.63805556,-84.035,52.0,01-2007
40.60222222,-121.52666667,0.1,01-2007
37.09833333,-83.44472222,30.0,02-2007
46.48333333,-111.86083333,0.1,01-2007
35.72527778,-118.52222222,0.1,01-2007
34.49555556,-83.48916667,2.7,02-2007
39.68888889,-121.33805556,0.1,01-2007
35.06027778,-84.11777778,12.0,01-2007
35.10138889,-83.90111111,1.0,01-2007
37.91694444,-90.97222222,0.7,02-2007
39.79,-120.58027778,2.0,02-2007
43.79972222,-124.14638889,0.1,02-2007
34.66333333,-83.98166667,27.0,01-2007
34.64277778,-83.95611111,137.0,01-2007
43.23166667,-72.86388889,0.05,02-2007
35.33888889,-82.87555556,64.0,01-2007
33.83527778,-111.47166667,0.1,01-2007
33.73444444,-111.51666667,0.1,02-2007
35.45555556,-83.78527778,10.0,02-2007
35.34361111,-83.8825,17.0,02-2007
34.54444444,-93.19138889,0.1,02-2007
34.45055556,-93.79,32.0,02-2007
35.73222222,-82.0725,25.0,02-2007
35.78888889,-81.9025,5.0,02-2007
34.74972222,-76.84055556,2.0,02-2007
34.87083333,-76.85277778,0.1,02-2007
33.52666667,-116.80388889,30.0,01-2007
34.98694444,-83.215,2.3,02-2007
34.86305556,-83.37444444,2.5,02-2007
34.82138889,-83.37916667,0.1,02-2007
34.88833333,-77.16388889,20.0,02-2007
39.82861111,-120.24083333,85.0,01-2007
33.33222222,-79.87638889,0.2,02-2007
29.05138889,-81.82861111,0.1,01-2007
29.23111111,-81.95138889,3.0,01-2007
34.28638889,-118.22638889,0.1,02-2007
40.90138889,-122.38333333,0.13,01-2007
33.23388889,-79.62888889,0.25,02-2007
34.62777778,-83.30416667,63.5,02-2007
34.61555556,-83.40444444,2.6,02-2007
34.37111111,-94.60138889,14.0,02-2007
34.13027778,-94.83861111,14.0,02-2007
33.6725,-117.39888889,1.0,01-2007
33.65055556,-117.41277778,0.1,01-2007
33.83611111,-117.61,0.1,01-2007
33.78111111,-117.49972222,2.0,01-2007
33.41277778,-116.85194444,0.1,01-2007
33.66416667,-117.43916667,0.1,01-2007
33.61666667,-117.41666667,0.1,02-2007
34.39722222,-111.51027778,0.1,02-2007
33.23277778,-79.62527778,0.2,02-2007
33.27277778,-79.71194444,0.5,02-2007
30.23527778,-82.42527778,0.3,02-2007
33.16111111,-79.87611111,3.7,02-2007
35.67888889,-94.37888889,42.0,02-2007
30.19361111,-82.57111111,0.1,01-2007
36.83277778,-91.04611111,26.0,02-2007
39.7875,-120.49833333,2.0,02-2007
36.87722222,-91.3075,115.0,02-2007
37.07777778,-90.64972222,38.5,02-2007
34.85083333,-84.28861111,2.1,02-2007
35.31555556,-83.86222222,1.0,02-2007
37.63583333,-91.37055556,3.0,02-2007
35.02083333,-83.64861111,3.0,02-2007
35.05638889,-84.16305556,4.0,02-2007
33.23138889,-79.62388889,0.5,02-2007
35.08555556,-83.85305556,14.0,02-2007
33.23472222,-79.62916667,0.2,02-2007
34.88083333,-83.43722222,34.6,02-2007
35.18972222,-84.22055556,63.0,02-2007
35.18277778,-84.26583333,3.0,02-2007
34.52972222,-83.37555556,0.5,02-2007
33.23388889,-79.62388889,0.3,02-2007
33.23111111,-79.62361111,0.1,02-2007
33.23277778,-79.62388889,0.01,02-2007
34.3725,-94.61055556,4.5,02-2007
35.75694444,-82.25305556,4.0,02-2007
35.48861111,-80.06722222,0.1,02-2007
