cause,count,date
Arson,763,01-1992
Arson,1703,02-1992
Arson,2169,03-1992
Arson,1809,04-1992
Arson,1446,05-1992
Arson,574,06-1992
Arson,563,07-1992
Arson,433,08-1992
Arson,452,09-1992
Arson,667,10-1992
Arson,330,11-1992
Arson,253,12-1992
Arson,453,01-1993
Arson,1606,02-1993
Arson,1381,03-1993
Arson,1532,04-1993
Arson,877,05-1993
Arson,708,06-1993
Arson,967,07-1993
Arson,645,08-1993
Arson,677,09-1993
Arson,872,10-1993
Arson,778,11-1993
Arson,449,12-1993
Arson,558,01-1994
Arson,1136,02-1994
Arson,2432,03-1994
Arson,1727,04-1994
Arson,901,05-1994
Arson,495,06-1994
Arson,480,07-1994
Arson,352,08-1994
Arson,367,09-1994
Arson,410,10-1994
Arson,880,11-1994
Arson,342,12-1994
Arson,384,01-1995
Arson,1484,02-1995
Arson,2360,03-1995
Arson,2292,04-1995
Arson,899,05-1995
Arson,440,06-1995
Arson,601,07-1995
Arson,870,08-1995
Arson,1091,09-1995
Arson,830,10-1995
Arson,675,11-1995
Arson,722,12-1995
Arson,589,01-1996
Arson,2120,02-1996
Arson,1943,03-1996
Arson,1602,04-1996
Arson,1117,05-1996
Arson,493,06-1996
Arson,620,07-1996
Arson,398,08-1996
Arson,248,09-1996
Arson,419,10-1996
Arson,349,11-1996
Arson,308,12-1996
Arson,529,01-1997
Arson,900,02-1997
Arson,1975,03-1997
Arson,2221,04-1997
Arson,1053,05-1997
Arson,401,06-1997
Arson,619,07-1997
Arson,584,08-1997
Arson,1035,09-1997
Arson,908,10-1997
Arson,372,11-1997
Arson,339,12-1997
Arson,317,01-1998
Arson,921,02-1998
Arson,2183,03-1998
Arson,1845,04-1998
Arson,896,05-1998
Arson,1136,06-1998
Arson,1152,07-1998
Arson,858,08-1998
Arson,1169,09-1998
Arson,1435,10-1998
Arson,1398,11-1998
Arson,793,12-1998
Arson,826,01-1999
Arson,1737,02-1999
Arson,2781,03-1999
Arson,2646,04-1999
Arson,1017,05-1999
Arson,727,06-1999
Arson,698,07-1999
Arson,1561,08-1999
Arson,2274,09-1999
Arson,1355,10-1999
Arson,2585,11-1999
Arson,1075,12-1999
Arson,1063,01-2000
Arson,1998,02-2000
Arson,2762,03-2000
Arson,1776,04-2000
Arson,1289,05-2000
Arson,679,06-2000
Arson,1422,07-2000
Arson,1636,08-2000
Arson,1303,09-2000
Arson,2276,10-2000
Arson,1172,11-2000
Arson,451,12-2000
Arson,920,01-2001
Arson,1668,02-2001
Arson,1760,03-2001
Arson,2647,04-2001
Arson,1645,05-2001
Arson,584,06-2001
Arson,677,07-2001
Arson,596,08-2001
Arson,365,09-2001
Arson,1678,10-2001
Arson,3660,11-2001
Arson,739,12-2001
Arson,717,01-2002
Arson,2515,02-2002
Arson,2124,03-2002
Arson,1944,04-2002
Arson,1361,05-2002
Arson,873,06-2002
Arson,700,07-2002
Arson,850,08-2002
Arson,743,09-2002
Arson,232,10-2002
Arson,418,11-2002
Arson,308,12-2002
Arson,1082,01-2003
Arson,583,02-2003
Arson,1260,03-2003
Arson,2246,04-2003
Arson,689,05-2003
Arson,404,06-2003
Arson,638,07-2003
Arson,459,08-2003
Arson,441,09-2003
Arson,881,10-2003
Arson,766,11-2003
Arson,557,12-2003
Arson,797,01-2004
Arson,936,02-2004
Arson,3118,03-2004
Arson,2701,04-2004
Arson,817,05-2004
Arson,468,06-2004
Arson,440,07-2004
Arson,447,08-2004
Arson,534,09-2004
Arson,339,10-2004
Arson,358,11-2004
Arson,474,12-2004
Arson,862,01-2005
Arson,722,02-2005
Arson,1884,03-2005
Arson,2291,04-2005
Arson,994,05-2005
Arson,661,06-2005
Arson,703,07-2005
Arson,623,08-2005
Arson,925,09-2005
Arson,1137,10-2005
Arson,1765,11-2005
Arson,787,12-2005
Arson,2017,01-2006
Arson,1359,02-2006
Arson,4368,03-2006
Arson,3606,04-2006
Arson,1193,05-2006
Arson,1312,06-2006
Arson,1396,07-2006
Arson,911,08-2006
Arson,658,09-2006
Arson,795,10-2006
Arson,629,11-2006
Arson,658,12-2006
Arson,371,01-2007
Arson,1339,02-2007
Arson,2966,03-2007
Arson,2433,04-2007
Arson,1815,05-2007
Arson,838,06-2007
Arson,677,07-2007
Arson,842,08-2007
Arson,598,09-2007
Arson,647,10-2007
Arson,675,11-2007
Arson,399,12-2007
Arson,527,01-2008
Arson,782,02-2008
Arson,1499,03-2008
Arson,1628,04-2008
Arson,965,05-2008
Arson,682,06-2008
Arson,733,07-2008
Arson,613,08-2008
Arson,390,09-2008
Arson,599,10-2008
Arson,755,11-2008
Arson,310,12-2008
Arson,901,01-2009
Arson,1385,02-2009
Arson,1888,03-2009
Arson,1548,04-2009
Arson,541,05-2009
Arson,471,06-2009
Arson,675,07-2009
Arson,302,08-2009
Arson,303,09-2009
Arson,182,10-2009
Arson,534,11-2009
Arson,112,12-2009
Arson,231,01-2010
Arson,313,02-2010
Arson,1433,03-2010
Arson,2205,04-2010
Arson,535,05-2010
Arson,419,06-2010
Arson,620,07-2010
Arson,725,08-2010
Arson,951,09-2010
Arson,1367,10-2010
Arson,766,11-2010
Arson,631,12-2010
Arson,426,01-2011
Arson,867,02-2011
Arson,1437,03-2011
Arson,1228,04-2011
Arson,617,05-2011
Arson,709,06-2011
Arson,989,07-2011
Arson,789,08-2011
Arson,727,09-2011
Arson,534,10-2011
Arson,537,11-2011
Arson,249,12-2011
Arson,701,01-2012
Arson,701,02-2012
Arson,1608,03-2012
Arson,1403,04-2012
Arson,635,05-2012
Arson,810,06-2012
Arson,994,07-2012
Arson,551,08-2012
Arson,436,09-2012
Arson,480,10-2012
Arson,863,11-2012
Arson,378,12-2012
Arson,361,01-2013
Arson,424,02-2013
Arson,1401,03-2013
Arson,980,04-2013
Arson,849,05-2013
Arson,340,06-2013
Arson,417,07-2013
Arson,365,08-2013
Arson,434,09-2013
Arson,294,10-2013
Arson,551,11-2013
Arson,174,12-2013
Arson,642,01-2014
Arson,469,02-2014
Arson,1008,03-2014
Arson,1406,04-2014
Arson,875,05-2014
Arson,425,06-2014
Arson,456,07-2014
Arson,364,08-2014
Arson,268,09-2014
Arson,275,10-2014
Arson,457,11-2014
Arson,200,12-2014
Arson,374,01-2015
Arson,504,02-2015
Arson,840,03-2015
Arson,1248,04-2015
Arson,851,05-2015
Arson,357,06-2015
Arson,450,07-2015
Arson,456,08-2015
Arson,439,09-2015
Arson,558,10-2015
Arson,389,11-2015
Arson,160,12-2015
Campfire,55,01-1992
Campfire,71,02-1992
Campfire,85,03-1992
Campfire,175,04-1992
Campfire,381,05-1992
Campfire,307,06-1992
Campfire,395,07-1992
Campfire,401,08-1992
Campfire,316,09-1992
Campfire,294,10-1992
Campfire,69,11-1992
Campfire,21,12-1992
Campfire,24,01-1993
Campfire,33,02-1993
Campfire,61,03-1993
Campfire,165,04-1993
Campfire,284,05-1993
Campfire,332,06-1993
Campfire,582,07-1993
Campfire,407,08-1993
Campfire,368,09-1993
Campfire,257,10-1993
Campfire,211,11-1993
Campfire,42,12-1993
Campfire,188,01-1994
Campfire,255,02-1994
Campfire,530,03-1994
Campfire,348,04-1994
Campfire,366,05-1994
Campfire,421,06-1994
Campfire,541,07-1994
Campfire,344,08-1994
Campfire,277,09-1994
Campfire,240,10-1994
Campfire,153,11-1994
Campfire,64,12-1994
Campfire,71,01-1995
Campfire,285,02-1995
Campfire,331,03-1995
Campfire,435,04-1995
Campfire,291,05-1995
Campfire,363,06-1995
Campfire,561,07-1995
Campfire,505,08-1995
Campfire,525,09-1995
Campfire,335,10-1995
Campfire,169,11-1995
Campfire,116,12-1995
Campfire,117,01-1996
Campfire,497,02-1996
Campfire,445,03-1996
Campfire,530,04-1996
Campfire,444,05-1996
Campfire,344,06-1996
Campfire,423,07-1996
Campfire,518,08-1996
Campfire,287,09-1996
Campfire,271,10-1996
Campfire,107,11-1996
Campfire,55,12-1996
Campfire,58,01-1997
Campfire,110,02-1997
Campfire,200,03-1997
Campfire,237,04-1997
Campfire,288,05-1997
Campfire,267,06-1997
Campfire,408,07-1997
Campfire,360,08-1997
Campfire,245,09-1997
Campfire,230,10-1997
Campfire,70,11-1997
Campfire,17,12-1997
Campfire,24,01-1998
Campfire,35,02-1998
Campfire,115,03-1998
Campfire,232,04-1998
Campfire,291,05-1998
Campfire,299,06-1998
Campfire,322,07-1998
Campfire,478,08-1998
Campfire,371,09-1998
Campfire,294,10-1998
Campfire,136,11-1998
Campfire,64,12-1998
Campfire,67,01-1999
Campfire,93,02-1999
Campfire,188,03-1999
Campfire,261,04-1999
Campfire,266,05-1999
Campfire,320,06-1999
Campfire,404,07-1999
Campfire,377,08-1999
Campfire,416,09-1999
Campfire,421,10-1999
Campfire,328,11-1999
Campfire,125,12-1999
Campfire,100,01-2000
Campfire,114,02-2000
Campfire,144,03-2000
Campfire,242,04-2000
Campfire,309,05-2000
Campfire,274,06-2000
Campfire,462,07-2000
Campfire,399,08-2000
Campfire,287,09-2000
Campfire,249,10-2000
Campfire,78,11-2000
Campfire,65,12-2000
Campfire,77,01-2001
Campfire,54,02-2001
Campfire,95,03-2001
Campfire,242,04-2001
Campfire,385,05-2001
Campfire,409,06-2001
Campfire,453,07-2001
Campfire,442,08-2001
Campfire,295,09-2001
Campfire,314,10-2001
Campfire,289,11-2001
Campfire,66,12-2001
Campfire,91,01-2002
Campfire,244,02-2002
Campfire,300,03-2002
Campfire,280,04-2002
Campfire,283,05-2002
Campfire,246,06-2002
Campfire,365,07-2002
Campfire,416,08-2002
Campfire,324,09-2002
Campfire,198,10-2002
Campfire,219,11-2002
Campfire,56,12-2002
Campfire,72,01-2003
Campfire,48,02-2003
Campfire,94,03-2003
Campfire,289,04-2003
Campfire,242,05-2003
Campfire,292,06-2003
Campfire,450,07-2003
Campfire,318,08-2003
Campfire,235,09-2003
Campfire,243,10-2003
Campfire,107,11-2003
Campfire,46,12-2003
Campfire,62,01-2004
Campfire,60,02-2004
Campfire,164,03-2004
Campfire,269,04-2004
Campfire,299,05-2004
Campfire,250,06-2004
Campfire,375,07-2004
Campfire,326,08-2004
Campfire,221,09-2004
Campfire,123,10-2004
Campfire,67,11-2004
Campfire,50,12-2004
Campfire,87,01-2005
Campfire,97,02-2005
Campfire,227,03-2005
Campfire,341,04-2005
Campfire,290,05-2005
Campfire,255,06-2005
Campfire,459,07-2005
Campfire,427,08-2005
Campfire,468,09-2005
Campfire,490,10-2005
Campfire,298,11-2005
Campfire,223,12-2005
Campfire,148,01-2006
Campfire,122,02-2006
Campfire,229,03-2006
Campfire,367,04-2006
Campfire,279,05-2006
Campfire,241,06-2006
Campfire,445,07-2006
Campfire,355,08-2006
Campfire,269,09-2006
Campfire,211,10-2006
Campfire,104,11-2006
Campfire,75,12-2006
Campfire,57,01-2007
Campfire,139,02-2007
Campfire,416,03-2007
Campfire,369,04-2007
Campfire,419,05-2007
Campfire,385,06-2007
Campfire,432,07-2007
Campfire,385,08-2007
Campfire,384,09-2007
Campfire,240,10-2007
Campfire,207,11-2007
Campfire,77,12-2007
Campfire,85,01-2008
Campfire,114,02-2008
Campfire,237,03-2008
Campfire,419,04-2008
